Gene	DMSO_rep1	DMSO_rep2	E2_rep1	E2_rep2
AF064860.2	0	2	1	0
AL513348.1	0	0	0	0
COX6CP2	0	0	0	0
CDY23P	0	0	0	0
AC099673.1	0	0	0	0
AL353747.3	0	0	0	0
LINC-PINT	14	25	14	18
AC012075.1	0	0	0	0
AC018880.2	0	0	0	0
AC112907.1	1	0	0	0
VN1R110P	0	0	0	0
HMGN2P38	0	1	0	1
AC234782.2	0	0	0	1
ARHGEF9-IT1	0	0	0	1
AC010976.1	0	0	0	0
	0	0	0	1
AC092573.1	0	0	0	0
TSPAN19	0	0	1	0
GAPDHP59	0	0	0	0
AL136985.1	0	0	0	0
AL353743.3	0	0	0	0
LINC01273	0	0	0	0
AC026396.1	0	0	0	0
AL669818.1	0	1	0	0
AC079922.1	0	0	0	0
AL596223.2	0	0	0	0
ABCA9-AS1	0	0	0	0
NANOGP10	0	0	0	0
EMBP1	0	0	0	0
AL512380.1	0	0	0	0
CHODL-AS1	0	0	0	0
AL449983.1	0	0	0	0
	0	0	0	0
AC092652.1	0	0	0	0
AL355312.2	0	0	0	2
AL590426.1	1	2	1	1
PQLC1P1	0	0	0	0
DLX6-AS1	1	0	2	0
PPP1R11P2	0	0	0	0
MTCO2P5	0	0	0	0
AL136454.1	0	1	1	2
LINC01354	0	0	0	0
AL035701.1	0	0	0	0
TMEM44-AS1	33	31	17	23
Z93403.1	0	0	0	0
	0	0	0	0
	0	0	0	0
LINC01611	5	3	1	0
MTND4P21	0	0	0	0
AC090960.1	0	0	0	0
AC079896.1	0	0	0	0
LINC00575	0	0	0	0
DBIL5P	3	3	5	5
AC234782.3	0	0	0	0
RPL31P50	0	0	0	0
PIK3CD-AS2	0	0	0	0
AL445228.1	0	0	0	0
DOC2GP	0	1	0	0
AC009542.1	0	0	0	0
ITCH-IT1	1	0	1	2
PA2G4P6	2	2	2	1
ANP32BP2	0	0	0	0
AC009502.2	0	1	0	0
AL353748.1	0	0	0	0
PCAT7	87	73	84	100
LINC01388	0	0	0	0
NANOGP9	0	0	0	0
RPL36AP35	0	0	0	0
AL159166.1	0	0	1	0
SNRPCP9	0	0	0	0
LINC00210	0	0	0	0
AC007179.1	0	0	0	0
	0	0	0	0
LINC01198	0	0	0	0
NPM1P48	0	0	0	0
AC019097.1	2	0	3	2
AKAIN1	0	0	0	0
LINC01819	0	1	0	0
AL513523.2	0	0	0	0
AL157834.1	0	0	0	0
AC245140.1	0	0	0	0
MTHFD1P1	1	1	0	0
RPS7P2	0	0	0	0
CR769775.2	0	0	0	0
AC073055.1	0	0	0	0
AC073342.1	0	1	0	4
FAM192BP	0	0	1	0
AC020559.1	0	0	0	0
HMGB3P14	0	0	0	0
AC092832.2	0	0	0	0
AC012354.2	0	0	0	0
UBE2V2P4	0	0	0	0
	0	0	0	0
AC104655.1	0	0	0	0
CYP21A2	0	1	0	0
AL161935.2	0	0	0	0
AL162377.1	2	6	1	2
MORF4L1P5	0	0	0	0
AC067945.3	0	0	0	0
AC079781.1	0	0	0	0
OR5K2	0	0	0	0
AL139393.1	0	0	0	0
AL807752.3	1	2	4	2
	1	1	2	6
AC099677.2	0	0	1	0
AP001625.1	0	0	0	0
AL031848.1	0	0	0	0
KRT17P3	0	0	0	0
IPO9-AS1	1	2	0	3
AC099560.1	0	0	0	0
TSPY18P	0	0	0	0
AL359885.1	0	0	0	0
AC009158.1	0	0	0	0
AL359551.1	0	3	0	0
SNRPFP1	1	0	0	1
TXNL1P1	0	0	0	0
KF459542.1	0	1	1	0
AL109615.2	0	0	0	0
F10-AS1	0	0	0	2
AL138733.2	0	0	0	0
NDUFB1P1	0	0	0	0
PRH1	0	0	0	0
MTND5P15	0	0	0	1
TRAF3IP2-AS1	7	6	6	9
DARS-AS1	5	12	4	16
AC073316.2	0	0	0	0
WDR95P	0	0	0	0
AC019185.2	0	0	0	0
MARK2P14	0	0	0	0
AC012594.1	0	0	2	1
GOT2P1	0	0	0	0
AL354754.1	0	0	0	0
AL135923.2	0	0	0	0
AC079354.3	0	0	0	0
SETP10	0	0	0	0
AC016397.1	0	0	0	0
GAPDHP37	0	0	0	0
IDH1-AS1	1	3	1	0
MAP1LC3BP1	0	0	0	0
GAMTP2	0	0	0	0
TPRKBP1	0	0	0	0
FO393415.3	0	0	0	0
RARRES2P3	0	0	0	0
LINC00387	0	0	0	0
SALL4P5	0	0	0	0
AC006033.1	0	1	0	1
AC007402.1	1	0	1	1
NEBL-AS1	4	4	5	4
AL138479.1	0	0	0	0
AC024082.1	0	0	0	0
PSG1	0	0	0	0
TAPBP	868	856	701	863
SEPHS1P7	0	0	0	0
AC093734.1	0	0	0	0
HMGB3P31	0	0	0	0
AF228730.1	0	0	0	0
AC024082.2	0	0	0	0
Z98949.1	0	0	0	0
LINC01598	0	0	0	0
AC116666.1	0	0	0	0
RPS7P3	0	0	1	0
HNRNPA1P36	1	1	0	0
PGM5P4-AS1	0	0	1	0
PHKA1-AS1	0	0	0	0
MTND2P24	0	0	0	0
HS1BP3-IT1	0	0	0	0
AL161638.1	0	0	0	0
AC004837.3	0	0	0	0
DPY19L1P2	0	1	2	2
AL031432.1	0	0	0	0
MTND2P22	0	0	0	0
AC007383.3	1	0	1	0
HNRNPA1P9	0	0	1	0
GNAI2P2	0	0	0	0
AL035461.1	0	0	0	0
	0	0	0	0
AL662864.1	0	0	0	0
AL731567.1	0	0	0	1
AF131215.1	0	0	0	0
AL359853.2	0	0	0	0
AL135786.1	0	0	0	0
AC007364.1	0	1	1	3
AL355490.2	0	1	0	1
AL078590.2	0	0	0	0
FAM238B	0	0	0	0
AL096828.1	0	0	0	0
AL590103.1	0	0	0	0
AL356361.2	0	0	0	0
AC011899.1	0	0	0	0
RPL7L1P12	0	0	0	0
AC112907.2	0	0	0	0
LINC00415	0	0	0	0
AL596266.1	0	0	0	0
AL354949.1	0	0	0	0
AP000474.1	0	0	0	0
LINC01787	0	1	0	1
OFD1P3Y	0	0	0	0
PPP1R2B	0	0	0	0
AL442224.1	0	0	0	0
ANXA2P2	0	1	1	2
AC092802.3	0	1	0	0
EP300-AS1	2	3	1	2
AL590399.4	0	0	0	0
AC096949.1	0	0	0	0
	0	0	0	0
LRRC8C-DT	0	1	0	0
CLCN3P1	0	0	0	0
AC108868.2	0	0	0	0
LINC01880	0	0	0	0
ZNF736P12Y	0	0	0	0
CAP1P2	5	1	3	2
AC005537.1	0	0	1	1
AL591503.2	0	0	0	0
AP001059.1	0	1	0	0
	0	0	0	0
	0	0	0	0
HSPE1P25	13	16	19	19
	0	0	0	0
AC074183.1	2	2	2	1
LEF1-AS1	0	1	0	1
FAAHP1	3	2	2	0
LINC01807	3	1	1	0
LSM12P1	0	0	0	0
	0	0	0	0
AL671986.1	0	0	0	0
AC007391.1	0	0	0	0
ELOCP15	0	0	0	0
MAGEB6B	0	0	0	0
AL078599.2	0	0	0	0
AC079781.2	0	0	0	0
AC092168.2	1	0	1	1
AL135790.1	0	0	0	0
AL078645.2	0	3	0	0
AL590556.1	0	0	0	0
DEFT1P2	0	0	0	0
ZBED9	97	96	56	83
PSMD10P3	0	0	0	0
AL512286.1	0	0	0	0
AL133230.1	0	0	0	0
LINC01105	0	0	0	0
LINC01798	0	1	1	0
HNRNPCP9	0	0	0	0
Z98949.2	0	0	0	0
AC078845.1	0	0	0	0
NPM1P34	0	0	0	1
AC092687.1	0	0	0	0
AC093390.1	0	0	0	0
AC005772.1	0	0	0	0
AL451007.1	0	0	0	0
SLC4A1APP1	0	0	0	0
AL691447.2	44	41	35	41
USP9YP33	0	0	0	0
LINC01063	6	7	7	0
AF003529.1	0	0	0	0
RPS29P28	0	0	0	0
TMEM253	0	2	0	2
AC004870.4	0	0	0	0
Z82198.2	2	2	1	0
MRPL35P2	0	0	0	0
LINC01031	0	0	0	0
LINC01697	0	0	0	0
AL662789.1	0	0	0	0
LARGE-IT1	0	2	0	0
RPS6KA2-IT1	0	1	0	1
RPL31P7	0	0	0	0
LINC01104	0	0	0	3
AL606534.3	0	0	0	0
AL159990.2	0	0	0	0
HCFC2P1	0	0	0	0
AC011233.1	0	0	0	0
AC016724.1	0	0	0	0
PNLIPP1	0	0	0	1
DCST1-AS1	4	5	6	5
YPEL5P1	0	0	0	0
AC079781.3	0	0	0	0
AC012313.1	59	71	44	67
LINC01653	0	0	0	0
AC108059.2	0	0	0	0
MTCO3P2	0	0	0	0
RFX3-AS1	0	0	1	1
RPL32P28	0	0	0	0
VN1R54P	0	0	0	0
AL353751.1	0	0	0	0
AC073488.1	0	0	0	0
TMA7	355	407	341	427
TEX50	0	0	0	0
AC018693.2	0	0	0	0
AC026884.1	0	0	0	0
	0	1	0	2
LINC00384	0	0	0	0
BACH1-AS1	0	0	0	0
MCTS1	120	131	161	182
AL357375.1	0	0	0	0
AL450469.2	0	0	0	0
AP001057.1	0	0	0	0
DYTN	0	0	0	0
MTCO3P45	0	0	0	0
	2	1	1	2
AC092966.1	0	0	0	0
NCOA7-AS1	0	0	0	0
NDFIP2-AS1	0	0	0	0
IMPDH1P10	0	0	0	2
RPS15AP12	1	0	0	0
AL031663.1	0	0	0	0
DUXAP7	0	0	1	0
IFNWP5	0	0	0	0
LINC00867	1	1	1	1
AC073257.1	0	0	0	0
RPS25P9	0	1	0	0
PSAT1P2	0	0	0	0
AC099548.1	0	0	0	0
FMO11P	0	0	0	0
FERP1	0	0	0	0
ST13P4	1	2	0	2
	0	0	0	0
AC073218.1	0	0	0	0
MTCYBP15	0	0	0	0
AC244090.2	0	0	0	0
C11orf98P1	0	0	0	0
RAB9BP1	0	0	0	0
RAP2C-AS1	18	16	11	9
AC023141.8	0	0	0	0
USP12-AS1	0	0	0	0
RPLP1P13	0	0	0	0
LINC01873	711	733	529	564
AC006455.6	0	0	0	0
AL122008.2	0	0	0	0
AC137675.1	0	0	0	0
P2RY10BP	0	0	0	0
LINC00708	0	0	0	0
AL359092.2	0	1	0	0
OR2H5P	0	0	0	0
AC113340.1	0	0	0	0
AL122003.1	0	0	0	0
AL161909.1	1	0	1	0
MTND4P24	0	0	2	1
MTATP6P29	0	0	0	0
AL031386.1	0	0	0	0
AL662889.1	0	0	0	0
CNOT7P2	0	0	0	0
AL137013.1	0	0	0	0
FTH1P7	4	4	5	5
AL354714.3	0	0	0	0
LINC02181	0	0	0	0
KIF26B-AS1	0	0	0	0
AL157359.2	0	0	0	0
Z99943.1	0	0	0	0
TOMM22P2	0	0	0	0
MTRNR2L4	5	5	7	7
AL596442.1	1	0	0	0
MTCO2P34	0	0	0	0
RPL3P8	0	0	0	0
AL158090.1	0	0	0	0
AC098824.1	0	0	0	0
SLC25A6P2	0	0	0	0
TET1P1	0	0	0	1
CDY18P	0	0	0	0
AL139415.1	0	0	0	0
	0	0	0	0
AL353613.1	0	0	0	0
LINC01701	3	0	0	0
OR2L6P	0	0	0	0
IGHV3-43	0	0	0	0
FTLP8	0	0	0	0
AL021937.2	0	0	0	0
AC008440.2	0	1	0	0
	0	0	0	0
CNN2P10	0	0	0	0
	0	1	0	0
LINC01047	0	0	0	0
ARSFP1	0	0	0	0
AC013401.1	1	2	0	1
AC092431.2	0	0	0	0
LINC00865	0	0	0	0
TPM4P1	0	0	0	0
LINC02043	2	3	4	6
AL355499.1	0	0	0	0
CDY3P	0	0	0	0
ASCL5	0	0	0	0
RPS29P8	0	0	0	0
RBPJP5	0	0	0	0
AL356387.2	0	0	0	0
DYNLT3P1	0	0	0	0
ZYG11AP1	0	0	0	0
AL139327.2	0	0	0	0
AL035415.1	0	0	0	0
AC152007.1	0	0	0	0
AL354994.1	0	0	0	0
CSF2RBP1	0	0	0	0
TMEM114	0	0	0	0
AL158166.2	0	0	0	0
BTF3L4P1	0	0	1	0
Z98751.1	0	0	0	0
KRTAP25-1	0	0	0	0
USP17L24	0	0	0	0
AC239803.2	0	0	0	1
ACTR3P2	0	0	0	0
OR52I1	0	0	0	0
	0	1	1	0
AL096799.1	0	0	0	0
FTH1P1	0	0	1	0
	7	11	9	8
AC104651.2	0	0	0	0
IFNWP15	0	0	0	0
MTND1P32	1	0	1	1
HSD17B3-AS1	0	0	0	0
GNG12-AS1	0	0	2	0
ELOBP3	0	0	0	0
AL121902.1	0	0	0	0
SLC6A1-AS1	0	0	0	0
AL133260.2	0	0	0	0
ALDH7A1P2	0	0	0	0
PAICSP7	0	0	0	0
AL031674.1	0	0	0	0
AL589935.1	0	0	0	0
AL691482.1	0	1	0	0
AL138902.1	0	0	0	0
AL357514.1	0	0	0	0
FAM215B	1	0	3	3
LNCPRESS1	0	0	0	0
DFFBP1	1	2	3	1
CLCP1	0	0	0	0
AC012485.2	0	0	0	0
DAOA-AS1	0	0	0	0
AL390856.1	0	0	0	0
AL078590.3	0	0	0	0
AL512303.1	0	0	0	0
PSMC1P13	0	0	0	0
LINC02518	1	4	1	0
AC009299.2	0	0	0	0
AC008440.3	0	0	0	0
AC093627.1	0	0	0	0
AC105917.1	0	0	0	0
AC084030.1	1	0	0	1
AC233982.1	0	0	0	0
RPS27AP2	0	0	1	0
AL683842.1	1	0	1	4
AL354864.1	0	0	0	0
	0	1	0	0
AC009313.2	0	0	0	0
RPL4P2	0	0	0	1
AC022540.1	0	0	0	0
AC087163.2	0	0	0	0
Z74021.1	0	0	0	1
AL390728.5	0	0	0	0
LINC00279	0	0	0	0
YBX1P7	0	0	0	0
AC244250.2	0	0	0	0
SEMA3B-AS1	0	2	0	3
AC026320.1	0	0	0	0
VIPR1-AS1	0	1	0	0
AL603650.1	0	0	0	0
AL050404.1	0	0	0	0
AC104777.2	0	0	0	0
AP000281.2	0	0	0	0
AC069304.1	0	0	0	0
ATP5MGP2	0	1	0	0
AL021391.1	0	0	0	0
VDAC1P9	0	0	0	0
FTLP2	0	0	0	0
PPIAP35	0	1	0	0
AF241726.1	0	0	0	0
	0	2	0	0
MTCYBP3	0	1	2	0
GPR79	0	0	0	0
AC092042.2	0	0	0	0
AC016910.1	0	0	0	0
RPL29P28	0	0	0	0
RPL22P23	0	0	0	0
ZDHHC20P4	0	0	0	0
OR52U1P	0	0	0	0
OR5K1	0	0	0	0
AC010677.1	0	0	0	0
	0	0	0	0
RPS3AP25	1	0	0	1
AC015712.1	2	3	5	1
SKA2P1	0	0	0	0
SMIM26	160	119	97	153
AL583856.1	1	0	1	0
NDUFA5P1	0	0	0	0
RANP2	0	0	0	0
AC002366.1	0	0	0	0
RPL5P6	0	0	0	0
AC090696.1	0	0	0	0
AL138830.2	0	0	0	0
AC004882.1	0	0	0	0
TMPRSS11CP	0	0	0	0
USP17L13	0	0	0	0
RAD17P1	0	0	1	2
LINC00112	0	0	0	0
AC009501.2	0	0	0	0
AL121895.1	1	0	0	1
PPIAP70	0	0	0	1
AC140481.2	0	0	0	0
AC019185.3	0	0	0	0
AC009495.2	0	0	0	0
AL121601.1	1	2	0	2
AL589923.1	0	0	0	0
ELN-AS1	0	0	0	0
BPESC1	0	0	0	0
	0	0	0	0
AC074348.1	0	0	0	0
TTTY19	0	0	0	0
IL9RP2	0	0	0	0
KNOP1P4	0	0	0	0
PRAMEF6	0	0	0	0
USP9YP29	0	0	0	0
	0	0	0	0
RPL21P131	1	0	0	0
RPL31P15	0	0	0	0
AC055876.1	0	0	0	0
GXYLT1P3	0	0	0	0
AJM1	10	16	5	7
AL360013.2	0	0	0	0
RPS26P42	0	1	0	0
	0	0	0	0
RPL18AP7	0	0	0	0
MHENCR	13	21	26	18
AC010745.4	0	0	0	0
AC006329.1	11	12	62	95
AC129850.1	0	0	0	0
MTND5P3	0	0	0	0
AL354824.2	0	0	0	0
AL133517.1	4	2	4	2
AC018467.1	0	0	0	0
AC105277.1	4	2	4	4
AL138752.1	0	1	1	2
LARS2-AS1	0	0	0	0
AL355994.2	0	0	0	0
SLC16A6P1	1	0	0	0
LINC01450	0	0	0	0
OR4F14P	0	0	0	0
BMPR1APS2	0	0	0	0
AC092920.1	0	0	0	0
	0	0	0	0
AL359265.2	0	0	0	0
Z98949.3	0	0	0	0
AL049765.1	0	0	0	0
AL356133.1	0	0	0	0
TMA16P2	0	0	0	0
AL136368.1	0	0	0	0
AC119751.1	0	0	0	0
EEF1B2P3	1	1	0	2
NCKAP5-IT1	1	0	0	0
HSFY5P	0	0	0	0
	0	0	0	0
AC010900.1	1	2	2	1
TGFB2-AS1	0	2	0	0
AL357134.1	0	0	0	0
AC098820.1	4	1	1	1
AL592437.2	1	1	2	3
RASA3-IT1	0	0	0	0
MFAP1P1	0	0	0	0
OSBPL10-AS1	0	0	0	2
SAPCD2P3	0	0	0	0
NPM1P13	0	0	0	0
RPL12P11	1	0	0	0
AL161912.1	0	0	0	0
	0	0	0	0
RPL3P12	0	0	0	1
ADIPOR1P1	0	0	0	0
	0	0	0	0
AL391058.1	0	0	2	0
AP005273.1	0	0	0	0
AC073464.2	0	0	0	0
CYCSP8	0	0	0	0
ST3GAL5-AS1	0	0	0	0
	0	0	0	0
MRPL45P1	0	0	0	0
OR2AH1P	0	0	0	0
AP000233.2	0	0	0	1
AL356968.1	0	0	0	0
AC245060.1	0	0	0	0
AC112198.2	0	0	0	0
AC074366.1	1	1	0	1
AL353807.2	1	0	3	1
AC012507.2	0	0	0	0
ZNF886P	0	0	0	0
AC073323.1	0	0	0	0
SS18L2P1	0	0	0	0
VDAC1P13	0	0	1	2
AC245595.1	2	2	1	1
AL109809.1	0	0	1	0
AL031773.1	0	0	0	0
LIF-AS1	0	0	0	0
AC027612.3	0	0	0	0
	0	0	0	0
AC093673.1	4	4	4	0
OR5H8	0	0	0	0
AL365436.2	5	6	1	3
AC092810.3	0	0	0	0
LINC00945	0	0	0	0
RPL36P19	0	0	0	0
DPYD-IT1	0	2	3	6
IGHD4-11	0	0	0	0
AC253536.3	1	7	5	1
AC027644.1	0	6	0	2
LINC01809	0	0	0	0
SRD5A1P1	0	0	0	0
MTCO1P14	0	0	0	0
CLK2P1	0	0	1	0
RSU1P2	0	0	0	0
AC104088.1	0	0	0	0
AC092570.2	0	0	0	0
AL590609.3	0	0	0	0
KCND3-IT1	0	0	0	0
	42	33	40	52
LINC01549	0	0	0	0
	7	22	12	9
TPMTP3	0	0	0	0
CRB3P1	0	0	0	0
AL031594.1	1	2	1	1
	0	0	0	0
RPL23AP35	0	0	0	0
	0	0	0	0
RPL3P4	0	0	0	1
AL645638.1	0	0	0	0
AC093311.1	15	24	12	14
MTCO1P27	0	0	0	0
AC079742.1	0	0	0	0
AC234771.3	0	0	0	0
GPR143P	0	0	0	0
OFD1P12Y	0	0	0	0
KIAA1614-AS1	7	6	5	5
EEF1A1P3	3	6	1	5
AL451127.1	0	0	0	0
AL139125.1	0	0	0	0
KANTR	24	22	11	12
AC103563.4	0	0	0	0
CST2P1	0	0	0	0
LINC01646	0	0	0	0
AC013727.1	0	0	0	0
AL122034.1	0	0	0	0
AL008707.1	0	0	0	0
TONSL-AS1	0	1	1	0
AC069218.2	0	0	0	0
AC245291.3	0	0	0	0
AC010967.2	0	0	0	0
HMGN2P11	0	0	0	0
LINC01412	0	0	0	0
TIMM9P2	0	0	0	0
CCT6P4	0	0	0	0
AL683813.1	5	3	13	5
RPL31P35	0	0	0	0
LINC02576	0	0	0	0
USP9YP9	0	0	0	0
AC026412.2	0	0	0	0
AC017019.1	0	0	0	0
AL355304.1	0	0	0	0
TSPY17P	0	0	0	0
C4BPAP2	0	0	0	0
AC114482.1	0	0	0	0
AP000266.1	0	1	0	0
LINC01517	0	0	0	0
RPL23AP31	0	0	0	0
AC099336.1	3	4	0	1
AC021876.1	0	0	0	0
AC092809.2	1	0	0	1
HLA-DQB2	0	0	0	0
PRPS1P2	0	0	0	0
MTND2P23	0	0	0	0
AC079465.1	0	0	0	0
NEFLP1	0	0	0	0
AL360267.1	0	0	0	0
	9	4	7	7
AL390294.1	154	196	124	143
AL354892.2	0	0	0	0
AC008073.2	0	0	0	0
LINC00385	0	0	0	0
AC005297.2	0	0	0	0
LINC01431	10	7	3	8
AL731563.1	0	0	0	0
POLR3KP1	0	0	0	0
AC107214.1	0	1	0	0
LINC01780	0	0	0	0
GOLGA8N	0	0	0	4
FAM136BP	3	2	4	0
LINC01656	0	0	0	0
IDI2-AS1	0	1	1	0
AC092638.1	0	0	0	0
CFTR-AS1	0	0	0	0
LDHBP1	2	0	1	1
AL139415.2	0	0	0	0
LARP1BP3	0	0	0	0
PHBP10	0	0	0	0
AC004862.1	0	0	0	0
AC010967.3	0	0	0	0
AL391069.2	8	6	6	10
ACTG1P21	0	0	0	0
AL121830.1	0	0	0	0
ADH5P2	0	0	0	0
LINC00665	41	49	73	100
SPTLC1P4	0	0	0	0
LINC01705	0	0	0	0
AC002511.1	0	0	0	0
AL592430.1	0	0	0	0
ATP11A-AS1	0	0	0	0
LINC00442	0	0	0	0
	0	0	1	2
RPL12P9	0	0	0	0
LINC01628	0	0	0	0
HSPE1P9	0	0	0	0
AP001596.1	0	0	0	0
AC012370.1	1	1	2	1
	0	0	0	0
ELOCP17	0	0	0	0
AC017006.2	0	0	0	0
	0	0	0	0
BDH2P1	0	0	0	0
RPL21P108	0	0	0	0
AL158050.1	0	0	0	0
NUTM2HP	0	0	0	0
AP1B1P2	0	0	0	0
MARK2P9	0	0	0	0
AC254562.2	0	1	0	0
KIZ-AS1	1	0	0	0
AC010733.1	0	0	0	0
MTND3P8	0	0	0	0
LINC01022	0	0	0	0
AC016831.3	0	0	0	0
TRIM51JP	0	0	0	0
GAPDHP48	0	0	0	0
AC007272.1	0	0	0	0
AC239800.2	0	0	0	0
MROH4P	0	0	0	0
AC013399.1	0	0	0	0
TRIM80P	0	1	0	0
U52111.1	0	0	0	0
YWHAEP1	0	0	0	0
PHB2P1	0	0	0	0
AC211433.1	1	1	2	1
FAM8A4P	0	0	0	0
AC097717.1	2	3	2	1
ATP5MC1P7	0	0	0	0
ATG4AP1	0	0	0	0
AC007551.1	0	0	0	0
AL353612.1	0	0	0	0
AL607028.1	0	0	0	0
LINC01826	0	0	0	0
RHOQP2	0	0	0	0
ELF2P3	0	0	0	0
USP9YP16	0	0	0	0
	2	3	1	0
LINC02022	0	1	0	0
IGKV1D-35	0	0	0	0
AC135050.1	0	0	0	0
AL162726.4	0	0	0	0
AL139132.1	0	0	0	0
AL645568.3	0	0	0	0
MTCO3P21	1	0	0	0
	0	0	0	0
AL035658.1	0	0	0	0
AC004990.1	1	2	0	2
ETF1P1	1	0	4	1
AC002480.2	0	0	0	0
AC103564.2	0	0	0	0
AL355483.3	0	0	0	0
TRIM60P8Y	0	0	0	0
AL158819.1	0	0	0	0
AC098614.3	0	0	0	0
AC016825.1	16	12	2	6
AL356320.1	0	0	0	0
PPP1R26P5	0	0	0	0
MTND4P22	0	0	0	0
DEFB130D	0	0	0	0
AL355916.1	22	27	24	23
BMS1P22	0	0	1	0
MRPL51P2	0	0	0	0
RPL23AP50	0	0	0	0
GAPDHP74	0	0	0	0
FRG2FP	0	0	0	0
	0	0	0	0
TIMM9P3	0	0	0	0
OR7L1P	0	0	0	0
AC078883.3	0	1	0	0
AC053503.3	0	0	0	0
LINC01162	0	0	0	0
OR11I1P	0	0	0	0
FTH1P25	0	0	0	0
DNAJC19P8	0	0	0	0
HNRNPDP1	0	0	0	0
SCAND3P1	0	1	0	0
FAM207CP	0	0	0	0
CR769767.1	0	0	0	0
CRYGFP	0	0	0	0
SLC7A15P	0	0	0	0
SDCBPP3	0	0	0	0
SLCO4A1-AS1	0	0	0	0
NIP7P1	0	0	0	0
AP001610.2	0	0	0	0
AL137186.2	3	5	3	1
TTTY20	0	0	0	0
VDAC1P10	0	0	0	0
TNF	0	0	0	0
AL360270.1	0	0	1	0
LINC01717	0	0	0	0
AC245047.4	0	0	0	0
COL4A2-AS1	1	0	0	0
DUX4L50	2	1	3	2
AC073188.4	0	0	0	0
RPS2P32	0	0	0	0
AC003986.2	0	0	0	0
TXNP1	0	0	0	0
PRR13P1	0	0	0	0
AL445433.2	0	0	0	0
LINC01189	0	0	0	0
AC231533.1	1	0	0	0
GSTO3P	0	0	0	0
AC110994.1	0	0	0	0
LMLN-AS1	0	0	0	0
	0	0	0	0
AC112492.4	0	0	0	0
AC107057.1	0	0	0	0
LINC01700	0	0	0	0
PET117	16	24	24	16
BRWD1P3	0	0	0	0
AL137845.2	0	0	0	0
SNX18P2	0	0	1	0
TRAPPC2P9	0	0	0	0
SLC25A6P3	0	0	0	1
AL034417.1	2	1	1	2
LINC00363	0	0	0	0
PTGES2-AS1	1	2	1	0
ATP5MFP3	0	0	0	0
CICP4	0	0	0	0
LUZP4P1	0	0	0	0
AF165147.1	0	0	0	0
KATNBL1P2	0	0	0	0
RPL34P27	0	0	0	0
LYRM9	37	45	34	30
SMG7-AS1	0	0	0	3
AL138787.1	1	0	0	1
	0	0	0	0
NUCKS1P1	0	0	1	0
	0	0	0	0
AL355433.1	0	0	0	0
TRBV29-1	0	0	0	0
SEC1P	0	1	1	2
CTAGE3P	1	0	1	0
RPL23AP93	0	0	0	0
AC080129.2	1	0	0	0
HMGN2P35	0	0	0	0
AL353596.1	1	1	1	0
DPYD-AS1	0	0	0	0
AL591806.2	0	0	0	0
NDUFB4P10	0	0	0	0
RPS10P21	0	0	0	0
PHKA1P1	0	0	0	0
AL451081.2	0	1	0	0
AF127936.2	0	1	1	1
GPC5-AS2	0	0	0	0
AF212831.1	0	0	0	0
AC006466.1	0	0	0	0
RPS11P5	1	0	0	0
AC087499.3	0	0	0	0
AL450344.3	0	0	0	0
AL499616.1	0	0	0	0
IQCA1-AS1	0	0	0	0
MRPS31P2	0	0	0	0
AL121999.1	0	0	0	0
AL592463.1	0	0	0	0
AL117329.2	0	0	0	0
CDY9P	0	0	0	0
AL050403.1	0	0	0	0
CYCSP10	2	1	1	1
LINC01166	4	0	2	1
AL162393.1	0	0	0	0
AC092685.1	0	0	0	1
DLGAP4-AS1	1	1	0	2
HSD17B7P1	0	0	0	0
AL157823.2	0	0	0	0
RAB9AP1	0	0	0	0
AL096855.1	1	0	0	0
PLCE1-AS2	0	0	0	0
TRAPPC2P4	0	0	0	0
AC097721.1	0	2	1	0
HMGN2P27	0	0	0	1
HSPE1P6	0	0	0	0
AC118469.1	0	0	0	0
LINC01400	0	0	0	0
MTND6P24	0	0	0	0
ELOCP4	0	0	0	0
MRPS16P2	0	0	0	0
AC000078.1	0	0	0	0
USP12PY	0	0	0	0
DDX3P1	0	0	0	0
AC083864.2	0	0	0	0
LINC00342	7	6	5	4
AL157786.1	0	0	0	0
AL359094.2	0	0	0	0
AL157400.2	2	0	0	0
AL589765.2	0	0	0	0
RPL23AP87	3	4	4	1
AL158829.1	0	0	0	0
HCG25	7	4	4	3
	0	0	0	0
AL050321.1	0	0	0	0
AC092423.1	0	0	0	0
AL354707.3	0	1	0	3
LINC02543	0	0	0	0
DEFB130A	0	0	0	0
AC002480.3	0	0	0	0
ZNF519P1	0	0	0	0
IPO7P1	0	0	0	0
AL512844.1	0	1	0	0
HSPA8P18	2	4	0	2
LINC00374	0	0	0	0
SNHG15	28	30	123	169
AC027119.1	0	0	0	0
AL356475.1	0	0	0	0
HMGN2P20	1	0	0	1
LINC01737	0	0	0	0
RPS12P18	0	0	0	0
EIF4EP4	0	0	0	0
AP001062.2	0	0	1	0
POLHP1	0	0	0	0
AL591719.2	0	0	0	0
CYP1B1-AS1	5	6	5	7
MTCO1P57	0	0	0	0
TRIM60P10Y	0	0	0	0
LINC00327	5	2	2	3
AL161909.2	0	0	0	0
AC092580.3	0	0	0	0
MTCO1P51	0	0	0	0
MTCO1P45	0	0	0	0
AL160270.2	0	0	0	0
AL355537.2	0	0	0	0
AL139081.1	0	0	0	0
LINC01219	0	1	0	0
AL356010.1	0	0	0	0
MTATP6P7	0	0	0	0
GACAT1	0	0	0	0
